Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH_mean,Pack_SOH_median,Pack_SOH_std,Pack_SOH_min,Pack_SOH_max,Pack_SOH_skew,Predicted_SOH,Predicted_Health_Status
NMC,1,D3-100,2.1,1.9155,5,5,4.560714285714286,3.4858,3.5072,3.5246,3.5035,3.4877,3.4681,3.4452,3.4654,3.4849,3.5277,3.5599,3.5187,3.4889,3.453,3.4009,3.4381,3.484,3.5636,3.6241,3.5469,3.4923,0.9121428571428573,3.498595238095238,3.4889,0.0495362743470931,3.4009,3.6241,0.5318274975135149,0.9378666009513412,Healthy
NMC,2,D3-200,2.1,1.8499,5,5,4.40452380952381,3.4877,3.5047,3.5317,3.5106,3.4895,3.4706,3.4406,3.4598,3.4864,3.5249,3.5711,3.532,3.4914,3.453,3.3903,3.4312,3.4855,3.5692,3.6396,3.5596,3.4945,0.880904761904762,3.501138095238096,3.4914,0.055401520522369,3.3903,3.6396,0.4666275522278272,0.8617836190332615,Healthy
NMC,3,D3-300,2.1,1.8004,5,5,4.286666666666667,3.4858,3.5013,3.5305,3.5131,3.4877,3.4678,3.4387,3.4588,3.4849,3.5258,3.5701,3.5292,3.4892,3.4483,3.3891,3.4309,3.4836,3.5565,3.6399,3.5658,3.4929,0.8573333333333333,3.499519047619048,3.4892,0.0556238763396405,3.3891,3.6399,0.4912641780209603,0.8468780257846071,Healthy
NMC,4,D3-400,2.1,1.7452,5,5,4.155238095238095,3.4898,3.5084,3.5385,3.5199,3.4917,3.4728,3.4375,3.4576,3.4886,3.5267,3.581,3.541,3.4936,3.4539,3.3832,3.4226,3.4874,3.5689,3.6532,3.5773,3.4973,0.831047619047619,3.504328571428571,3.4936,0.0605866911363968,3.3832,3.6532,0.4009450655574796,0.7953485658855848,Healthy
NMC,5,D3-500,2.1,1.6421,5,5,3.909761904761905,3.4979,3.5162,3.5494,3.5292,3.5001,3.4799,3.4424,3.4635,3.4967,3.5329,3.594,3.5556,3.5016,3.4672,3.386,3.4269,3.4957,3.5658,3.6684,3.5968,3.506,0.7819523809523808,3.512961904761905,3.5016,0.0631020005720141,3.386,3.6684,0.4085624425461946,0.7798620379779959,Healthy
NMC,6,D3-600,2.1,1.5016,5,5,3.575238095238095,3.506,3.5221,3.5618,3.5416,3.5081,3.4877,3.4464,3.4666,3.5047,3.5475,3.6089,3.5717,3.51,3.4675,3.3875,3.43,3.5038,3.589,3.6855,3.6073,3.5146,0.715047619047619,3.5223,3.51,0.067786289174139,3.3875,3.6855,0.3618166811341117,0.6970993028068388,Healthy
NMC,7,D4-100,2.1,1.9134,5,5,4.555714285714285,3.4861,3.5057,3.5243,3.5053,3.4883,3.4728,3.4464,3.4681,3.4855,3.5212,3.5593,3.5218,3.4895,3.457,3.403,3.443,3.4846,3.5562,3.6222,3.5416,3.4926,0.9111428571428573,3.498785714285714,3.4895,0.0474146842836086,3.403,3.6222,0.5623601138702331,0.9619530286911364,Healthy
NMC,8,D4-200,2.1,1.8448,5,5,4.392380952380952,3.4886,3.5072,3.5317,3.5143,3.4905,3.475,3.4421,3.4626,3.4877,3.5239,3.5704,3.5305,3.4917,3.452,3.3922,3.4325,3.4864,3.5525,3.6387,3.5621,3.4948,0.8784761904761904,3.5013047619047626,3.4917,0.0538716481666421,3.3922,3.6387,0.4633890784896479,0.8934809329031808,Healthy
NMC,9,D4-300,2.1,1.7955,5,5,4.275,3.4867,3.5053,3.5311,3.5128,3.4889,3.4688,3.4402,3.4607,3.4858,3.5255,3.5704,3.5301,3.4905,3.4564,3.3903,3.4281,3.4849,3.5503,3.6402,3.568,3.4939,0.855,3.5004238095238094,3.4905,0.0550153424488288,3.3903,3.6402,0.4828405389194358,0.8765880219541082,Healthy
NMC,10,D4-400,2.1,1.7384,5,5,4.139047619047619,3.4914,3.5075,3.5404,3.5215,3.4936,3.4787,3.4387,3.4588,3.4902,3.5233,3.5822,3.5463,3.4951,3.4588,3.3838,3.4201,3.4889,3.5683,3.6532,3.5807,3.4988,0.8278095238095238,3.505728571428573,3.4951,0.0605825399175137,3.3838,3.6532,0.3617946941324421,0.8044011803074365,Healthy
NMC,11,D4-500,2.1,1.6765,5,5,3.991666666666666,3.4982,3.5177,3.5509,3.5314,3.5004,3.4821,3.4399,3.4598,3.4967,3.532,3.5953,3.5599,3.5019,3.4691,3.3823,3.4185,3.4954,3.5751,3.6675,3.5971,3.5063,0.7983333333333333,3.513214285714285,3.5019,0.0648534600905324,3.3823,3.6675,0.293330387821399,0.7746096722630775,Healthy
NMC,12,D4-600,2.1,1.6112,5,5,3.836190476190476,3.5026,3.5199,3.5571,3.5388,3.505,3.4861,3.443,3.4626,3.5013,3.5329,3.6024,3.567,3.5069,3.4753,3.3832,3.4204,3.5001,3.5785,3.6759,3.603,3.5112,0.7672380952380952,3.517771428571429,3.5069,0.0663079040752846,3.3832,3.6759,0.2889473277417187,0.7523726732113944,Healthy
NMC,13,E3-200,2.1,1.8787,5,5,4.473095238095238,3.4871,3.5069,3.5292,3.5106,3.4889,3.4722,3.4418,3.4588,3.4858,3.5249,3.567,3.5301,3.4908,3.4526,3.3931,3.4319,3.4849,3.5605,3.6334,3.563,3.4939,0.8946190476190476,3.5003523809523807,3.4908,0.053600584129724,3.3931,3.6334,0.4346717985187555,0.9000197413704858,Healthy
NMC,14,E3-300,2.1,1.8272,5,5,4.35047619047619,3.4864,3.5041,3.5301,3.5119,3.4883,3.4694,3.4406,3.4573,3.4852,3.5249,3.568,3.5311,3.4902,3.4505,3.3916,3.4291,3.484,3.5472,3.6365,3.5624,3.4936,0.870095238095238,3.4991619047619045,3.4902,0.0540667501907639,3.3916,3.6365,0.4710649040015559,0.864640557521271,Healthy
NMC,15,E3-400,2.1,1.7676,5,5,4.208571428571429,3.4917,3.5066,3.5398,3.5199,3.4939,3.4771,3.4399,3.4567,3.4908,3.5233,3.5813,3.5463,3.4954,3.4629,3.3857,3.4263,3.4898,3.5562,3.6523,3.5859,3.4995,0.8417142857142857,3.50577619047619,3.4954,0.0593935426183849,3.3857,3.6523,0.4168018398334007,0.8463799948121418,Healthy
NMC,16,E3-500,2.1,1.6929,5,5,4.030714285714286,3.4988,3.5165,3.5487,3.5292,3.5007,3.484,3.4449,3.4635,3.4979,3.5336,3.5915,3.554,3.5026,3.4641,3.3891,3.4275,3.4964,3.563,3.6635,3.5931,3.5066,0.8061428571428572,3.512819047619049,3.5026,0.0613879110171344,3.3891,3.6635,0.3775074139749674,0.7932433479798524,Healthy
NMC,17,E3-600,2.1,1.5726,5,5,3.7442857142857138,3.5084,3.5286,3.5611,3.5438,3.5106,3.4929,3.4526,3.4719,3.5075,3.541,3.6058,3.5673,3.5128,3.4737,3.395,3.4362,3.5063,3.5828,3.6799,3.6058,3.5171,0.7488571428571428,3.523861904761905,3.5128,0.0640073626717307,3.395,3.6799,0.3712836165139146,0.7335158845957677,Healthy
NMC,18,E4-100,2.1,1.9052,5,5,4.536190476190476,3.4864,3.5069,3.5246,3.506,3.4883,3.4672,3.4455,3.466,3.4852,3.5264,3.5596,3.5215,3.4895,3.4477,3.4021,3.4375,3.4843,3.5683,3.6228,3.5528,3.4926,0.9072380952380952,3.499104761904762,3.4895,0.0501479359115654,3.4021,3.6228,0.4966682217543162,0.9446822558988601,Healthy
